,name,price,description,trassmition,model,milage,fuel
6693,Mercedes-benz Classe C,"31,533 ",T D,Automatic,2020,"102,000 km",Diesel
6694,Mercedes-benz Classe C,"48,627 ","D Amg.line, Led,wide,cam,assis,premium+",Automatic,2024,"10,000 km",Diesel
6695,Mercedes-benz Classe C,"23,015 ",D Coupe * Amg Line Sport Paket *,Manual,2016,"124,000 km",Diesel
6696,Mercedes-benz Classe C,"50,872 ","D 4m *uvp 87.989€*acc*ahk*hud*sthzg*18""amg*360*",Automatic,2023,"33,000 km",Diesel
6697,Mercedes-benz Classe C,"25,810 ",T D Avantgarde 2020 Navi Led Standheiz 1hd,Automatic,2020,"120,000 km",Diesel
6698,Mercedes-benz Classe C,"47,707 ",D Amg Line*navi*led*kamera*ahk*,Automatic,2024,"12,374 km",Diesel
6699,Mercedes-benz Classe C,"23,949 ",D T 9g-tronic/sport/1hd/ahk/leder/led/navi,Automatic,2019,"139,000 km",Diesel
6700,Mercedes-benz Classe C,"43,009 ",T D 4m Standheizung Distronic Ahk Memory,Automatic,2023,"26,200 km",Diesel
6701,Mercedes-benz Classe C,"29,083 ",T D Avantgarde 9g-tronic*navi*leder*beam*,Automatic,2020,"125,201 km",Diesel
6702,Mercedes-benz Classe C,"32,953 ","D Coupe Amg Sport Distro,ledils,metallic",Automatic,2017,"87,176 km",Diesel
6703,Mercedes-benz Classe C,"23,982 ",T-modell Comand Kamera Pts Alu Ahk Pano,Automatic,2019,"146,000 km",Diesel
6704,Mercedes-benz Classe E,"36,218 ",D T-modell Multibeam Led 360° Widescreen,Automatic,2020,"48,900 km",Diesel
6705,Mercedes-benz Classe E,"30,628 ","D,navi,led,leder,spurhalte/toterwinkel,pdc",Automatic,2016,"95,000 km",Diesel
6706,Mercedes-benz Classe E,"40,393 ",E220d Coupe Amg-line*widescreen*pano*ambiente,Automatic,2017,"100,000 km",Diesel
6707,Mercedes-benz Classe E,"32,953 ",D,Automatic,2019,"118,500 km",Diesel
6708,Mercedes-benz Classe E,"32,923 ",T D Amg Line Pts Kamera Navi Ahk Led,Automatic,2020,"102,276 km",Diesel
6709,Mercedes-benz Classe E,"35,082 ",T D Avantgarde Mbux Widescreen Kamera Led,Automatic,2021,"41,085 km",Diesel
6710,Mercedes-benz Classe E,"34,097 ",D T 9g-tronic Avantgarde,Automatic,2019,"60,193 km",Diesel
6711,Mercedes-benz Classe E,"64,347 ",T D Amg Line-adv Wp Ahk Np Kamera Vza Ambi,Automatic,2024,"18,600 km",Diesel
6712,Mercedes-benz Classe E,"102,024 ",E 220 D 4matic (238.415),Automatic,2020,"97,211 km",Diesel
6713,Mercedes-benz Classe E,"46,527 ","D T Amg*pano*ahk*sthz*20""*burmester*totw",Automatic,2021,"54,500 km",Diesel
6714,Mercedes-benz Classe E,"57,847 ","D Cabrio Amg+led+kamera+19""+totw+9g",Automatic,2023,"26,253 km",Diesel
6715,Mercedes-benz Classe E,"42,625 ","E 220 D Coupe Avantgarde 19""-amg-r. Ahk Led Navi",Automatic,2020,"29,632 km",Diesel
6716,Mercedes-benz Classe E,"79,397 ",D T Burm Amg Night Standh Distr Spur Pano,Automatic,2024,"9,999 km",Diesel
6717,Mercedes-benz Classe E,"59,819 ","E 220 D 4m Coupe Amg Night 20"" Pano 360° Np80 Led",Automatic,2023,"47,756 km",Diesel
6718,Mercedes-benz Classe E,"42,625 ","E 220 D Coupe Avantgarde 19""-amg-r. Ahk Led Navi",Automatic,2020,"29,632 km",Diesel
6719,Mercedes-benz Classe E,"26,524 ",D T+360° Kamera+scheckheft Mb+service Neu,Automatic,2016,"124,587 km",Diesel
6720,Mercedes-benz Classe E,"35,612 ",D Coupe Avantgarde[panorama/kamera],Automatic,2019,"89,888 km",Diesel
6721,Mercedes-benz Classe E,"32,853 ",E 220 Eklasse T-modell E220d*luxury/ahk/carplay*,Automatic,2021,"134,000 km",Diesel
6722,Mercedes-benz Classe E,"63,597 ",E 220 D 4m Amg Standh*ahk*pano*dist*memo*burm*20,Automatic,2023,"20,000 km",Diesel
6723,Mercedes-benz Classe E,"30,963 ",E200 Avantgarde/2hd/multibeam/ahk/8fach/tuv-neu,Automatic,2019,"83,000 km",Petrol
6724,Mercedes-benz Classe E,"37,263 ",Cgi Cabrio Amg Unfallfrei*led*ruckfahrk*,Automatic,2018,"74,169 km",Petrol
6725,Mercedes-benz Classe E,"53,555 ",Coupe Amg Night Edition Wide+burmester+cam,Automatic,2023,"16,000 km",Petrol
6726,Mercedes-benz Classe E,"87,992 ",Amg Line Premium Plus*hyperscreen*pano*hud,Automatic,2024,10 km,Petrol
6727,Mercedes-benz Classe E,"63,352 ",New Shape Model 24 Ready Eu1 Possible *278,Automatic,2024,10 km,Petrol
6728,Mercedes-benz Classe E,"89,777 ",Exclusive Premium My25 Eur 1,Automatic,2024,10 km,Petrol
6729,Mercedes-benz Classe E,"86,187 ",*amg Line Premium*superscreen*softc*hud*360,Automatic,2024,80 km,Petrol
6730,Mercedes-benz Classe E,"42,173 ",E 200 T Avantgarde Led/kamera/ambiente/easy-pack,Automatic,2023,"18,455 km",Petrol
6731,Mercedes-benz Classe E,"87,992 ",Amg Line Premium Plus Hyper 360 Cam Euro 1,Automatic,2024,10 km,Petrol
6732,Mercedes-benz Classe E,"99,892 ",Amg Line Premium Plus My 25 Eur 1 Mbux,Automatic,2024,10 km,Petrol
6733,Mercedes-benz Classe E,"42,977 ",D Avantg+ahk+led+kamera+totw+9g,Automatic,2023,"9,205 km",Diesel
6734,Mercedes-benz Classe E,"43,539 ",D T Exclusive+360+led+fahrass+9g,Automatic,2023,"21,012 km",Diesel
6735,Mercedes-benz Classe E,"63,352 ",New Shape Model 24 Ready Eu1 Possible *275,Automatic,2024,10 km,Petrol
6736,Mercedes-benz Classe E,"63,352 ",E200 Limo New Shape Model 24 Ready Eu1 Possible,Automatic,2024,10 km,Petrol
6737,Mercedes-benz Classe E,"87,992 ",Amg Line Premium Plus My24,Automatic,2024,10 km,Petrol
6738,Mercedes-benz Classe E,"84,422 ",Lim. Avantgarde Advanced Plus Mbux My24,Automatic,2024,10 km,Petrol
6739,Mercedes-benz Classe E,"82,042 ",Amg Line Advanced|hypersc. Mbu|eur1|pano,Automatic,2024,10 km,Petrol
6740,Mercedes-benz Classe E,"75,252 ",E -klasse Lim. E 200 Amg Line Rear Axle,Automatic,2024,10 km,Petrol
6741,Mercedes-benz Classe E,"63,352 ",New Shape Model 24 Ready Eu1 Possible *455,Automatic,2024,50 km,Petrol
